study_id,reference,title,year,intervention_category,intervention_technique,type_experiment,environmental_context,economic_cost,cultural_meaning,behavior_scrutiny,suitable_for_longitudinal,control_group_scenario_prompt,intervention_group_scenario_prompt,response_instruction,response_options,n_study,n_comparison,n_control,n_intervention,binary_outcome,mean_control,sd_control,mean_intervention,sd_intervention,effect_size,effect_label,variance_d,ci_lower,ci_upper
Hershfield_1,Hershfield et al. (2014),National differences in environmental concern and performance are predicted by country age,2014,information,translation,artefactual_field,Green transportation,medium,high,high,1,"You are an American. You are shown a timeline that depicts the beginning of the Roman Empire (27 BC) on the left and “Now” on the right. On this timeline, the founding of the United States is marked near the right end, suggesting that the U.S. has a relatively short, recent history. After viewing this timeline, you are asked to consider how national issues involve trade-offs between short-term and long-term priorities.","You are an American. You are shown a timeline that begins with Christopher Columbus sailing from Spain (1492) on the left and ends with “Now” on the right. On this timeline, the founding of the United States is marked near the left end, suggesting that the U.S. has a long, established history. After viewing this timeline, you are asked to consider how national issues involve trade-offs between short-term and long-term priorities. Reflecting on this deep history, consider the responsibility to protect the environment and preserve this land for future generations. National issues often require balancing short-term gains with long-term stewardship and care.","After viewing the timeline and considering short-term vs. long-term national priorities, you are told that you could win a $50 bonus. You are then given the option to donate any amount of this potential bonus to an environmental organization, Environment America. How much of your potential $50 bonus would you like to donate to Environment America?",Any whole dollar amount from $0 to $50.,308,308,157,151,0,9.84,12.72,13.13,13.83,0.2478,1,0.0131,0.0234718685695147,0.4721281314304852
Hilton_1,Hilton et al. (2014),A tax can nudge: The impact of an environmentally motivated bonus/malus fiscal system on transport preferences,2014,assistance,reminder,conventional_lab,Green transportation,high,medium,medium,0,"You are a university student booking travel from Toulouse to Paris for a job interview. On one screen, the train and plane alternatives are shown with their respective fares, departure and arrival times, and total travel times. Select the alternative you would actually book.","You are a university student booking travel from Toulouse to Paris for a job interview. On one screen, the train and plane alternatives are shown with their respective fares, departure and arrival times, and total travel times. The screen also states: “Scientific data have established that certain human activities emit greenhouse gases. According to some recognized experts, this is inducing dangerous climate change for the planet. An important part of these emissions is due to transport. The train is a travel mode that emits little CO2 while the plane is a travel mode that emits large quantities of CO2.” Select the alternative you would actually book.",Which ticket do you book? Respond with one option only.,Train ticket (1); Plane ticket (0),863,863,434,429,1,0.302,,0.452,,0.311,1,0.0047,0.1766316389276761,0.4453683610723238
Kesternich_1,Kesternich et al. (2019),The power of active choice: Field experimental evidence on repeated contribution decisions to a carbon offsetting program,2019,structure,default,natural_field,Green transportation,low,high,medium,1,"You are booking a long-distance bus trip online. After choosing your ticket, you are asked whether you would like to offset the carbon emissions associated with your trip for a given price. You can choose “yes” to offset, choose “no” to decline, or click “continue” at the bottom of the page to proceed without making a choice. If you continue without choosing, you do not participate in the offsetting program. In the final cart, any offsetting expense would be included together with the other items you intend to buy.","You are booking a long-distance bus trip online. After choosing your ticket, you are asked whether you would like to offset the carbon emissions associated with your trip for a given price. You can choose “yes” to offset or choose “no” to decline. If you try to continue without making a choice, the decision screen is highlighted again and a message appears asking you to select whether you would like to offset your emissions before proceeding. In the final cart, any offsetting expense would be included together with the other items you intend to buy.",Did you choose to purchase the carbon offset for this booking?,"Yes (1), No (0)",9733,9733,4838,4895,1,0.177,,0.265,,0.213,1,0.0004,0.1738007203091989,0.2521992796908011
Klotz_1,Klotz et al. (2010),Unintended anchors: Building rating systems and energy performance goals for U.S. buildings,2010,structure,default,artefactual_field,Energy conservation,high,medium,medium,1,"You have just answered several questions about the benefits and incentives for achieving a 30% reduction in energy use in building design. Now, you are asked to set an energy performance goal for a large building project.","You have just answered several questions about the benefits and incentives for achieving a 90% reduction in energy use in building design. Now, you are asked to set an energy performance goal for a large building project.","What percentage reduction in energy use, relative to a standard baseline building, would you set as the target?",Open-ended numerical response: “__%” energy use reduction (0–100).,76,52,20,32,0,29.0,17.6,54.0,20.0,1.3073,1,0.0977,0.6946740727149918,1.919925927285008
Klotz_2,Klotz et al. (2010),Unintended anchors: Building rating systems and energy performance goals for U.S. buildings,2010,structure,default,artefactual_field,Energy conservation,high,medium,medium,1,"Earlier in a survey, you answered general questions about the benefits and incentives associated with reducing energy use in building design. You now turn to a separate task: setting an energy-performance goal for a large building project.","Earlier in a survey, you answered questions that used a 90% reduction in building energy use as the example while asking about its benefits and incentives. You now turn to a separate task: setting an energy-performance goal for a large building project.","For this project, what percentage reduction in energy use relative to a standard baseline building would you set as the goal?",Enter one percentage from 0% to 100%.,76,56,24,32,0,40.0,16.9,54.0,20.0,0.747,1,0.0779,0.1999628512321376,1.2940371487678624
Kuester_1,Kuester et al. (2015),The role of defaults in preventing innovation rejection,2015,structure,default,artefactual_field,Other,medium,low,low,0,You are selecting a battery for a new digital camera. The choices are a familiar traditional rechargeable battery and a new USB-rechargeable cell. Neither choice is selected.,You are selecting a battery for a new digital camera. The choices are a familiar traditional rechargeable battery and a new USB-rechargeable cell. The USB-rechargeable cell is selected. You may keep or change the selection.,Which battery would you choose for your new digital camera?,"USB cell (innovation) = 1, Traditional rechargeable battery (status quo) = 0",240,240,120,120,1,0.317,,0.9,,1.302,1,0.0202,1.0234367788489993,1.5805632211510008
Kuester_2,Kuester et al. (2015),The role of defaults in preventing innovation rejection,2015,structure,default,conventional_lab,Other,medium,low,low,0,You are choosing a battery for a new lamp. The options are a traditional rechargeable battery and a new USB cell that charges through a USB connection. Neither option is preselected.,You are choosing a battery for a new lamp. The lamp comes with a new USB cell that charges through a USB connection. You may switch to a traditional rechargeable battery.,Which battery do you choose for your lamp?,"USB cell (innovation) = 1, Traditional rechargeable battery (status quo) = 0",65,65,34,31,1,0.5,,0.71,,0.4334,1,0.0631,-0.0589373351532456,0.9257373351532456
Larrick_1,Larrick & Soll (2008),The MPG illusion,2008,information,translation,artefactual_field,Other,high,medium,medium,1,"A town operates 100 Type A vehicles rated at 15 miles per gallon (MPG) and 100 Type B vehicles rated at 34 MPG. Every vehicle travels 10,000 miles per year. The town can either replace all Type A vehicles with models rated at 19 MPG (Option 1), or replace all Type B vehicles with models rated at 44 MPG (Option 2).","A town operates 100 Type A vehicles that use 6.67 gallons per 100 miles and 100 Type B vehicles that use 2.94 gallons per 100 miles. Every vehicle travels 10,000 miles per year. The town can either replace all Type A vehicles with models that use 5.26 gallons per 100 miles (Option 1), or replace all Type B vehicles with models that use 2.27 gallons per 100 miles (Option 2).",Which replacement option would save more gasoline for the town? Respond with one option only.,Option 1—replace the Type A vehicles (1); Option 2—replace the Type B vehicles (0),171,171,78,93,1,0.25,,0.64,,0.8074,1,0.0255,0.4944188505233898,1.1203811494766105
Lofgren_1,Lofgren et al. (2012),Are experienced people affected by a pre-set default option: Results from a field experiment,2012,structure,default,natural_field,Energy conservation,low,high,medium,1,"You are registering for the 16th EAERE conference in Gothenburg. On page 2, the “CO2 compensation for flying” section shows the charge based on origin: €10 for travel within Europe or €40 from outside Europe. The radio button “I do not want to compensate for my CO2 emissions” is selected. You may retain that selection or select the applicable paid-compensation option before submitting the registration.","You are registering for the 16th EAERE conference in Gothenburg. On page 2, the “CO2 compensation for flying” section shows the charge based on origin: €10 for travel within Europe or €40 from outside Europe. Neither radio button is selected. You must select either the applicable paid-compensation option or “I do not want to compensate for my CO2 emissions” before submitting the registration.",Which radio button do you select before submitting the registration?,Applicable €10/€40 CO2-compensation option (1); “I do not want to compensate” (0),240,160,80,80,1,0.393,,0.468,,0.1516,1,0.0251,-0.1589166926260528,0.4621166926260528
Lofgren_2,Lofgren et al. (2012),Are experienced people affected by a pre-set default option: Results from a field experiment,2012,structure,default,natural_field,Energy conservation,low,high,medium,1,"You are an environmental economist registering online for the 16th EAERE conference in Gothenburg. On page 2, a section labeled “CO2 compensation for flying” shows the charge that applies to your origin: €10 within Europe or €40 outside Europe. The radio button for “I do not want to compensate for my CO2 emissions” is selected. You may keep it selected or select the applicable compensation option; the form requires a choice before registration can be completed.","You are an environmental economist registering online for the 16th EAERE conference in Gothenburg. On page 2, a section labeled “CO2 compensation for flying” shows the charge that applies to your origin: €10 within Europe or €40 outside Europe. The radio button for the applicable compensation option is selected. You may keep it selected or select “I do not want to compensate for my CO2 emissions”; the form requires a choice before registration can be completed.",Which option would you select on the registration form?,Pay the applicable CO2-compensation charge (1); Do not compensate (0),240,160,80,80,1,0.393,,0.432,,0.0792,0,0.025,-0.2306975161522808,0.3890975161522808
Marek_1,Marek (2018),Social learning under the labeling effect: Exploring travellers' behavior in social dilemmas,2018,structure,composition,conventional_lab,Green transportation,medium,high,high,1,"In a commuting-choice experiment, you receive 60 tokens that may be used for public or private transport. A public-transport trip costs 2 tokens and a private-transport trip costs 4 tokens. After the round, you see the choices of other group members and the group's total carbon emissions, which reduce your satisfaction score.","In a commuting-choice experiment, you receive 50 tokens that may be used for either form of transport and 30 additional tokens that may be used only for public transport and expire if unused. A public-transport trip costs 2 tokens and a private-transport trip costs 4 tokens. After the round, you see the choices of other group members and the group's total carbon emissions, which reduce your satisfaction score.",How many times do you want to choose public transportation for this round?,Please output a number (0 to 30).,120,120,60,60,0,10.27667,2.236351,11.76502,2.350689,0.6487,1,0.0351,0.2815008651884324,1.0158991348115678
McCaul_1,McCaul & Kopp (1982),Effects of goal setting and commitment on increasing metal recycling,1982,assistance,commitment,framed_field,Energy conservation,medium,high,high,1,You are a college student participating in a class project that asks you to collect aluminum cans for recycling for two weeks. Recycling proceeds will be donated to charity. Your name is not listed in the project’s campus-newspaper notice.,"You are a college student participating in a class project that asks you to collect aluminum cans for recycling for two weeks. Recycling proceeds will be donated to charity. On the participation form, you consent to have your name listed with the project in a campus-newspaper notice.","When the two-week period ends, how many cans did you actually turn in?",Enter a non-negative whole number.,55,55,28,27,0,35.65,27.21,37.85,24.38,0.0851,0,0.0728,-0.4438,0.614
McCaul_2,McCaul & Kopp (1982),Effects of goal setting and commitment on increasing metal recycling,1982,assistance,commitment,framed_field,Energy conservation,medium,medium,medium,1,You are a college student participating in a class project that asks you to collect aluminum cans for recycling for two weeks. Recycling proceeds will be donated to charity. The instructions do not state a numerical collection standard.,"You are a college student participating in a class project that asks you to collect aluminum cans for recycling for two weeks. Recycling proceeds will be donated to charity. The instructions ask you to use four cans per day as the collection standard; it is a goal, not a required quota.","When the two-week period ends, how many cans did you actually turn in?",Enter a non-negative whole number.,65,65,37,28,0,27.56,26.81,45.57,35.44,0.5846,1,0.0654,0.0835,1.0857
Meng_1,Meng & Trudel (2017),Using emoticons to encourage students to recycle,2017,assistance,reminder,conventional_lab,Recycling or reuse,low,high,high,1,"You test a pair of scissors by cutting a sheet of paper along dotted lines. After completing a survey about the scissors, you leave the laboratory and see two identical hallway bins, one labeled “Trash” and one labeled “Recycling.”","You test a pair of scissors by cutting a sheet of paper along dotted lines. After completing a survey about the scissors, you leave the laboratory and see two hallway bins. The Trash bin has a large red frowning-face sticker; the Recycling bin has a large green smiling-face sticker and the words “Thank you for recycling!” Several sheets of paper are visible in the Recycling bin.",Did you place the paper in the recycling bin or in the trash bin?,"Recycled (1), Trashed (0)",192,192,96,96,1,0.46,,0.62,,0.3225,1,0.0211,0.0377987862395981,0.6072012137604019
Mertens_1,Mertens et al. (2020),"This way, please: Uncovering the directional effects of attribute translations on decision making",2020,information,translation,artefactual_field,Energy conservation,high,medium,medium,0,"Here are two washing machine options to choose from: Option A is priced at CHF 1,059, consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669, consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models.	","Here are two washing machine options to choose from: Option A is priced at CHF 1,059, consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669, consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models. Moreover, Option A has an environmental friendliness rating of five stars, while Option B has a rating of one star.","You want to keep costs low because you are on a tight budget, but you also want to consider the environmental impact of your purchase. Based on the information provided, which washing machine would you choose?","Please select one option and respond with only the corresponding number: output 1 for Option A, output 0 for Option B.",356,193,104,89,1,0.5053667,,0.7558494,,0.5264,1,0.0216,0.2383452994186813,0.8144547005813185
Mertens_2,Mertens et al. (2020),"This way, please: Uncovering the directional effects of attribute translations on decision making",2020,information,translation,artefactual_field,Energy conservation,high,medium,medium,0,"Here are two washing machine options to choose from: Option A is priced at CHF 1,059 (12 monthly installments of CHF 88), consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669 (12 monthly installments of CHF 56), consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models.","Here are two washing machine options to choose from: Option A is priced at CHF 1,059 (12 monthly installments of CHF 88), consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669 (12 monthly installments of CHF 56), consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models. Moreover, Option A has an environmental friendliness rating of five stars, while Option B has a rating of one star.","You want to keep costs low because you are on a tight budget, but you also want to consider the environmental impact of your purchase. Based on the information provided, which washing machine would you choose?","Please select one option and respond with only the corresponding number: output 1 for Option A, output 0 for Option B.",345,168,79,89,1,0.4976636,,0.7251521,,0.4718,1,0.0246,0.1643916608335494,0.7792083391664506
Mertens_3,Mertens et al. (2020),"This way, please: Uncovering the directional effects of attribute translations on decision making",2020,information,translation,artefactual_field,Energy conservation,high,medium,medium,0,"Here are two washing machine options to choose from: Option A is priced at CHF 1,059 (12 monthly installments of CHF 88), consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669 (12 monthly installments of CHF 56), consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models.	","Here are two washing machine options to choose from: Option A is priced at CHF 1,059 (12 monthly installments of CHF 88), consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669 (12 monthly installments of CHF 56), consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models. Moreover, Option A has estimated operating costs of CHF 1,199.25, while Option B has estimated operating costs of CHF 1,539.00.","You want to keep costs low because you are on a tight budget, but you also want to consider the environmental impact of your purchase. Based on the information provided, which washing machine would you choose?","Please select one option and respond with only the corresponding number: output 1 for Option A, output 0 for Option B.",345,164,79,85,1,0.4976636,,0.6220044,,0.2512,1,0.0246,-0.0562083391664505,0.5586083391664505
Mertens_4,Mertens et al. (2020),"This way, please: Uncovering the directional effects of attribute translations on decision making",2020,information,translation,artefactual_field,Green transportation,high,medium,medium,0,"You are choosing between two washing machines. Option A: price CHF 1,059; annual energy use 160 kWh; annual water use 9,400 liters; popularity rank within the top 100. Option B: price CHF 669; annual energy use 220 kWh; annual water use 11,200 liters; popularity rank within the top 50.","You are choosing between two washing machines. Option A: price CHF 1,059; annual energy use 160 kWh; annual water use 9,400 liters; popularity rank within the top 100; annual carbon emissions 112 kg. Option B: price CHF 669; annual energy use 220 kWh; annual water use 11,200 liters; popularity rank within the top 50; annual carbon emissions 155 kg.",Which washing machine would you purchase?,Option A (1); Option B (0),356,188,104,84,1,0.5053667,,0.572697,,0.1352,1,0.0216,-0.1528547005813186,0.4232547005813186
Mertens_5,Mertens et al. (2020),"This way, please: Uncovering the directional effects of attribute translations on decision making",2020,information,translation,artefactual_field,Green transportation,high,medium,medium,0,"Here are two washing machine options to choose from: Option A is priced at CHF 1,059 (12 monthly installments of CHF 88), consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669 (12 monthly installments of CHF 56), consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models.","Here are two washing machine options to choose from: Option A is priced at CHF 1,059 (12 monthly installments of CHF 88), consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669 (12 monthly installments of CHF 56), consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models. Moreover, Option A produces 112 kg of carbon emissions annually (low emissions), while Option B produces 155 kg (high emissions).","You want to keep costs low because you are on a tight budget, but you also want to consider the environmental impact of your purchase. Based on the information provided, which washing machine would you choose?","Please select one option and respond with only the corresponding number: output 1 for Option A, output 0 for Option B.",345,171,79,92,1,0.4976636,,0.5621891,,0.1294,1,0.0236,-0.1716953805165089,0.4304953805165089
Nelson_1,Nelson et al. (2019),Nudging tourists to donate for conservation: Experimental evidence on soliciting voluntary contributions for coastal management,2019,structure,default,framed_field,Environmental donation,low,high,medium,1,"As part of our shared commitment to marine conservation, a small recommended donation of Rp.10,000 (approximately only $0.75 USD) to the Gili Eco Trust Foundation can be included to help protect the reefs and wildlife of Gili Trawangan and offset the environmental impact of your dive. You can check the box if you want to donate.","As part of our shared commitment to marine conservation, a small recommended donation of Rp.10,000 (approximately only $0.75 USD) to the Gili Eco Trust Foundation will be included to help protect the reefs and wildlife of Gili Trawangan and offset the environmental impact of your dive. You may uncheck the box if you prefer not to donate.",Did you make a donation?,"Yes (1), No (0)",275,275,146,129,1,0.48,,0.68,,0.4083,1,0.0149,0.169055906178768,0.647544093821232
Nelson_2,Nelson et al. (2019),Nudging tourists to donate for conservation: Experimental evidence on soliciting voluntary contributions for coastal management,2019,structure,default,framed_field,Environmental donation,low,high,medium,1,"As part of our shared commitment to marine conservation, a small recommended donation of Rp.50,000 (approximately only $3.75 USD) to the Gili Eco Trust Foundation can be included to help protect the reefs and wildlife of Gili Trawangan and offset the environmental impact of your dive. You can check the box if you want to donate.","As part of our shared commitment to marine conservation, a small recommended donation of Rp.50,000 (approximately only $3.75 USD) to the Gili Eco Trust Foundation will be included to help protect the reefs and wildlife of Gili Trawangan and offset the environmental impact of your dive. You may uncheck the box if you prefer not to donate.",Did you make a donation?,"Yes (1), No (0)",264,264,127,137,1,0.19,,0.32,,0.3005,1,0.0153,0.0580658440800469,0.5429341559199531
Nelson_3,Nelson et al. (2019),Nudging tourists to donate for conservation: Experimental evidence on soliciting voluntary contributions for coastal management,2019,structure,default,framed_field,Environmental donation,low,high,medium,1,"As part of our shared commitment to marine conservation, a small recommended donation of Rp.20,000 (approximately only $1.5 USD) to the Gili Eco Trust Foundation can be included to help protect the reefs and wildlife of Gili Trawangan and offset the environmental impact of your dive. You can check the box if you want to donate.","As part of our shared commitment to marine conservation, a small recommended donation of Rp.20,000 (approximately only $1.5 USD) to the Gili Eco Trust Foundation will be included to help protect the reefs and wildlife of Gili Trawangan and offset the environmental impact of your dive. You may uncheck the box if you prefer not to donate.",Did you make a donation?,"Yes (1), No (0)",198,198,101,97,1,0.45,,0.59,,0.2812,1,0.0204,0.0012611496377107,0.5611388503622893
Pichert_1,Pichert & Katsikopoulos (2008),Green defaults: Information presentation and pro-environmental behaviour,2008,structure,default,conventional_lab,Energy conservation,medium,medium,medium,0,"There are German cities whose inhabitants are supplied with conventionally produced electricity by default. Imagine you live in one of these cities. You are free to switch to green electricity without a switching fee, but your monthly premium would be higher. What is the maximum additional amount you would be willing to pay per month to switch to green electricity?","There are German cities whose inhabitants are supplied with green electricity by default. Imagine you live in one of these cities. You are free to switch to conventionally produced electricity without a switching fee, and your monthly premium would be lower. What is the minimum amount by which your monthly premium would have to be reduced for you to switch?",Enter the requested monthly amount.,A non-negative amount in euros.,65,65,41,24,0,6.59,5.53,13.0,7.34,1.0253,1,0.0741,0.4917720264002696,1.5588279735997306
Pichert_2,Pichert & Katsikopoulos (2008),Green defaults: Information presentation and pro-environmental behaviour,2008,structure,default,conventional_lab,Energy conservation,medium,medium,medium,0,"You live in a city where electricity is provided by a traditional (grey) energy supplier, which primarily uses fossil fuels and nuclear energy for power generation. You have the opportunity to switch to green electricity, which is the supply of renewable energy generation, but the monthly cost will be higher.","You live in a city where electricity is provided by a green energy supplier by default, which uses renewable energy to generate electricity. You can choose to switch back to traditional (grey) electricity, which will result in lower monthly costs, but you will give up green energy supply.",Would you prefer to use green power or grey power?,"Green power (1), gray power (0)",152,152,75,77,1,0.4133,,0.6753,,0.5325,1,0.0273,0.2086608025501705,0.8563391974498294
Rosenkranz_1,Rosenkranz et al. (2017),Using behavioral insights to make firms more energy efficient: A field experiment on the effects of improved information,2017,structure,effort,natural_field,Energy conservation,low,medium,medium,0,"You are the energy coordinator at a company participating in a Dutch voluntary energy-efficiency agreement. As in previous years, you receive a long invitation email with an impersonal salutation. Administrative information comes first; a general link in the second paragraph takes you to the government website, where you must navigate to your company’s annual feedback report.",You are the energy coordinator at a company participating in a Dutch voluntary energy-efficiency agreement. You receive a short invitation email with a personalized salutation. The first sentence says that your company’s annual feedback report is ready; a direct link immediately below opens the secure login page for that report.,"After reading the email, do you follow the link and complete the download of your company’s report?","Yes, download the report (1); No, do not download it (0)",339,339,170,169,1,0.14,,0.46,,0.7115,1,0.0125,0.4923693648558546,0.9306306351441452
Shealy_1,Shealy & Klotz (2015),Well-endowed rating systems: How modified defaults can lead to more sustainable performance,2015,structure,default,conventional_lab,Other,high,medium,medium,1,"You are tasked with designing an outdoor community center and stream restoration for a brownfield site. As you work, you use the standard Envision sustainability rating system, which starts at zero points in each category. Every time you choose a sustainable feature that exceeds industry norms, you earn additional points. There is no default endowment of sustainability points; your score increases only as you select higher sustainability options.","You are tasked with designing an outdoor community center and stream restoration for a brownfield site. This time, you use a modified version of the Envision sustainability rating system, which starts you with a default endowment of points at the “conserving” level for each category. As you make decisions, any choice below this high sustainability default causes you to lose points, while choices above the default can earn you even more points.",Please use the Envision rating system to select design features and achievement levels for the community center and stream restoration project.,Please output the points (0–100).,41,41,25,16,0,44.68,19.8,62.39,19.36,0.9021,1,0.1124,0.2450003337042243,1.5591996662957757
Shealy_2,Shealy et al. (2016),Using framing effects to inform more sustainable infrastructure design decisions,2016,structure,default,artefactual_field,Other,high,medium,medium,1,"You are using the Envision rating system to set quality-of-life achievement levels for a rural redevelopment project. Each credit begins at the industry-norm level, worth zero points. For every credit, you actively select an achievement level; points for levels above the industry norm are added to the project score.","You are using the Envision rating system to set quality-of-life achievement levels for a rural redevelopment project. Each credit begins at the “conserving” achievement level with its associated points. For every credit, you actively select an achievement level; choosing below “conserving” subtracts points from that starting score, while choosing above it adds points.","After selecting an achievement level for each quality-of-life credit, what total Envision score would your selections produce?",Enter a whole-number project score from 0 to 200.,65,65,33,32,0,81.0,40.1,112.0,42.6,0.7497,1,0.0659,0.2465577375296894,1.2528422624703106
Shealy_3,Shealy et al. (2018),Providing descriptive norms during engineering design can encourage more sustainable infrastructure,2018,information,social_reference,artefactual_field,Other,high,high,high,1,"You are a civil engineering designer serving as sustainability coordinator for an outdoor community center and stream-restoration project on a 0.4-acre brownfield site in rural Alabama. For each of ten Envision sustainability credits, you review the available achievement levels and set the project team’s intended level. No information about other projects appears beside the credits.","You are a civil engineering designer serving as sustainability coordinator for an outdoor community center and stream-restoration project on a 0.4-acre brownfield site in rural Alabama. For each of ten Envision sustainability credits, you review the available achievement levels and set the project team’s intended level. Beside each credit is a descriptive statement about other projects, for example: “More than 95% of Envision projects are able to meet the Restorative level of achievement for this credit.”","Considering the ten achievement levels you set, what total Envision score do you establish as the project’s design goal?",Enter one whole-number score from 0 to 200.,67,67,24,43,0,93.0,37.38,140.5,28.36,1.4916,1,0.0815,0.9320654667613704,2.051134533238629
Stikvoort_1,Stikvoort et al. (2016),"Thou shalt not sell nature: How taboo trade-offs can make us act pro-environmentally, to clear our conscience",2016,structure,composition,conventional_lab,Environmental donation,medium,high,high,1,"You are asked to imagine a situation where you must decide how to allocate some of your freely spendable money left after paying for living expenses, rent, and bills. You have two options: preventing the destruction of natural forests caused by human activity, which leads to the permanent extinction of plant and animal species, or preventing fishing practices that cause painful deaths of dolphins and other marine animals. You will make your choice privately, and afterward, you will be informed that you may choose to donate part of your participation fee (real money) to an environmental charity if you wish.","You are asked to imagine a situation where you must decide how to allocate some of your freely spendable money left after paying for living expenses, rent, and bills. You have two options: preventing the destruction of natural forests caused by human activity, which leads to the permanent extinction of plant and animal species, or spending the money on personal luxuries, such as high-end fashion items, designer furniture, or frequent leisure outings. You will make your choice privately. Later, you will be informed that you have the opportunity to donate a portion of your participation fee (real money) to an environmental charity, if you wish.","After considering the options above, you are given an envelope with your participation fee. You can choose to keep all of it, or anonymously donate any part of it (from 0 up to the full amount) to an environmental charity by placing the donation in a box.","Would you choose to donate? Yes (1), No (0)",138,138,69,69,1,0.36,,0.41,,0.1028,1,0.029,-0.2309698395603318,0.4365698395603318
Theotokis_1,Theotokis & Manganari (2015),The impact of choice architecture on consumer behavior: The role of guilt,2015,structure,default,conventional_lab,Other,low,low,low,0,Paper account statements are selected by default. You may opt in to electronic statements instead.,You must actively choose between electronic statements and paper account statements before proceeding. Neither option is selected by default.,What service would you choose?,electronic statements（1）paper account statements（0）,107,72,36,36,1,0.56,,0.79,,0.4984,1,0.0573,0.0292352203907743,0.9675647796092256
Theotokis_2,Theotokis & Manganari (2015),The impact of choice architecture on consumer behavior: The role of guilt,2015,structure,default,conventional_lab,Other,low,low,low,0,"By default, you will receive e-statements. However, if you prefer, you can opt out and receive paper statements instead, which offer a tangible, easy-to-organize record that many find more trustworthy and easier to reference.","Please choose one of the following billing options: e-statements or paper statements. While e-statements offer convenience, paper statements provide a reliable physical copy that is easier to review, file, and keep for your records. You must make a choice to proceed.",What service would you choose?,electronic statements（1）paper account statements（0）,107,71,35,36,1,0.7,,0.79,,0.2072,1,0.0567,-0.2595019553562604,0.6739019553562604
Yeomans_1,Yeomans & Herberich (2014),An experimental test of the effect of negative social norms on energy-efficient investments,2014,information,social_reference,framed_field,Energy conservation,low,high,high,1,"While you are refueling at a Chicago gas station, you see a pump-side poster about tire inflation. It says that tires below 33 psi waste fuel, that inflation costs $0.50, and that an attendant will inflate the tires for you if you choose the service today. The air pump and attendant are available now.","While you are refueling at a Chicago gas station, you see a pump-side poster about tire inflation. It says that more than 70% of Chicago drivers are wasting fuel with tires below 33 psi, that inflation costs $0.50, and that an attendant will inflate the tires for you if you choose the service today. The air pump and attendant are available now.",Would you purchase the $0.50 tire-inflation service now?,"Yes, purchase the service (1); No, do not purchase it (0)",77,77,43,34,1,0.326,,0.676,,0.7151,1,0.056,0.2512878678183686,1.1789121321816314
Yeomans_2,Yeomans & Herberich (2014),An experimental test of the effect of negative social norms on energy-efficient investments,2014,information,social_reference,framed_field,Energy conservation,low,high,high,1,"You are at a gas station, pumping gas. A poster near the pump says that you could be wasting fuel with tires below 33 psi, encourages you to save the earth and save on gas, and states that you can inflate your tires today for only $0.50. The air pump is available to use.","You are at a gas station, pumping gas. A poster near the pump says that more than 70% of Chicago drivers are wasting fuel with tires below 33 psi, encourages you to save the earth and save on gas, and states that you can inflate your tires today for only $0.50. The air pump is available to use.",Did you inflate your tires? ,"Yes (1), No (0)",77,77,32,45,1,0.031,,0.111,,0.3253,1,0.0542,-0.1309971269705975,0.7815971269705975
Yeomans_3,Yeomans & Herberich (2014),An experimental test of the effect of negative social norms on energy-efficient investments,2014,information,social_reference,framed_field,Energy conservation,low,high,high,1,"At a gas station, a poster by the pump states that tires below 33 psi can waste fuel, displays the messages “save the earth” and “save on gas,” and states that the air pump is free to use that day.","At a gas station, a poster by the pump states that more than 70% of Chicago drivers have tires below 33 psi and may be wasting fuel, displays the messages “save the earth” and “save on gas,” and states that the air pump is free to use that day.",Did you inflate your tires? ,"Yes (1), No (0)",67,67,31,36,1,0.581,,0.278,,-0.6228,-1,0.0629,-1.114356466564789,-0.131243533435211
